Timestamp,Name,Are you employed?,How old are you?,How much do you make?,Gender,Job Title
"August 03, 1985", ricardo Zavala  ,No,59.0,"$28,547",Female,HR Specialist
08-Mar-1972, AMANDA Crosby  ,yes,55.8,"$43,399",man,Project manager
13-Oct-2024, darrell Waller  ,no,26.8,"$51,961",Male,product Owner
06/20/1991, GREGORY Estes  ,No,60.0,"$71,619",woman,software engineer
20-Apr-1997, joseph Rodriguez  ,Yes,43.3,"$28,462",woman,HR Specialist
03/21/1988, RYAN Chandler  ,Yes,55.9,"$67,447",Female,Teacher
"July 04, 1974", lee Obrien  ,No,60.1,"$50,153",Man,Teacher
"May 11, 1984", WILLIAM Cruz  ,Yes,32.9,"$35,277",male,HR Specialist
08/06/2008, barbara Scott  ,no,23.2,"$56,931",Woman,product Owner
11/08/2018, JEANNE Smith  ,No,28.7,"$52,985",Male,Project manager
1991-06-01, sara Ryan  ,No,38.1,"$40,996",man,MARKETING Manager
20-Jun-1984, JENNIFER Harmon  ,yes,56.4,"$51,047",male,Project manager
08/09/2014, emily Diaz  ,Yes,58.5,"$44,220",Female,software engineer
"December 22, 2003", CHAD Beck  ,Yes,18.3,"$51,702",woman,Project manager
1996-12-03, mark Edwards  ,no,42.0,"$59,931",woman,product Owner
"September 30, 2013", MELANIE Cortez  ,No,37.6,"$73,790",Woman,Project manager
03/23/2001, kevin Parker  ,Yes,28.4,"$31,432",man,Data Scientist
1979-09-22, RICKY Powell  ,No,23.6,"$81,995",man,product Owner
01/10/1988, kenneth Martinez  ,Yes,33.9,"$20,718",male,product Owner
03-Jul-1979, ROBERT Bentley  ,No,62.3,"$47,723",male,sales associate
"October 13, 1986", erica Orr  ,Yes,33.2,"$58,824",Male,sales associate
11-Sep-2020, CHRISTINA Turner  ,Yes,42.4,"$54,214",Woman,sales associate
14-Mar-2008, amy Smith  ,no,51.0,"$40,659",woman,MARKETING Manager
09/05/2006, JUSTIN Jordan  ,No,35.1,"$46,878",Male,product Owner
18-Nov-1987, bethany Pena  ,Yes,63.7,"$42,604",male,product Owner
11/01/2020, STEVEN Ramos  ,Yes,63.2,"$41,159",Man,sales associate
12-Oct-2009, jason Kennedy  ,no,29.8,"$62,744",man,HR Specialist
26-Feb-1999, RACHEL Flynn  ,Yes,41.4,"$55,355",woman,Data Scientist
09/16/2009, gene Miller  ,no,32.1,"$39,606",Male,HR Specialist
"March 07, 1997", ZACHARY Schultz  ,No,31.4,"$63,493",female,software engineer
"August 20, 1994", matthew Cardenas  ,yes,19.7,"$54,609",woman,product Owner
12/04/1984, KAREN Chambers  ,no,46.6,"$62,192",female,software engineer
1979-06-01, jeffrey Gonzalez  ,No,41.6,"$59,444",Male,Project manager
03-Sep-2004, ANDREW Sanchez  ,no,20.4,"$37,565",female,sales associate
2003-08-02, thomas Atkinson  ,Yes,31.1,"$41,597",Man,Project manager
03/09/1976, CHARLES Perry  ,no,60.7,"$61,209",female,sales associate
07-Jun-2021, crystal Lee  ,no,29.3,"$59,155",Man,HR Specialist
1973-03-17, HEATHER Snyder  ,yes,24.8,"$49,686",Woman,sales associate
"June 18, 1977", john Douglas  ,yes,41.0,"$51,759",Man,Project manager
"May 26, 1980", ADAM Potter  ,no,64.3,"$69,164",Woman,HR Specialist
09/12/2012, kayla Rodriguez  ,yes,29.4,"$41,126",Man,software engineer
20-Nov-1980, RONALD Thompson  ,yes,49.6,"$58,206",woman,HR Specialist
11/26/2023, susan Holmes  ,No,53.8,"$46,967",female,sales associate
22-Apr-2016, BRENT Wright  ,Yes,29.2,"$46,734",man,MARKETING Manager
23-Sep-1998, melinda Bryant  ,no,52.2,"$66,481",Male,HR Specialist
"August 02, 2010", LAURIE Contreras  ,yes,35.3,"$62,381",Female,Data Scientist
04/28/1974, vanessa Larson  ,No,47.7,"$62,202",Woman,product Owner
"March 08, 1996", STEPHANIE Vance  ,Yes,47.8,"$69,582",Man,MARKETING Manager
12/21/1995, cheyenne Ball  ,yes,43.2,"$50,315",man,MARKETING Manager
20-Jul-2010, WILLIAM Rivas  ,no,22.2,"$60,229",Man,software engineer
07-Nov-2001, amy Merritt  ,no,57.3,"$45,345",male,software engineer
2006-01-03, JULIA Wells  ,no,33.1,"$54,862",male,software engineer
09-Feb-1987, jonathon Wright  ,no,26.8,"$48,047",Man,product Owner
08/25/2007, DANA Cannon  ,No,19.9,"$51,454",woman,MARKETING Manager
"October 13, 1970", adrienne Sims  ,No,45.8,"$58,927",male,software engineer
"April 17, 2016", JOSHUA Jones  ,No,49.8,"$37,726",man,Data Scientist
2019-01-17, justin Nelson  ,No,18.8,"$81,385",woman,Project manager
18-Oct-1977, LUIS Fernandez  ,yes,42.1,"$34,909",Female,Teacher
05/23/2016, devon Hall  ,Yes,28.6,"$31,787",woman,product Owner
"July 17, 2006", HEATHER Mccarthy  ,yes,48.3,"$67,371",woman,Teacher
02/05/2021, caleb Russell  ,no,26.2,"$61,874",Man,Teacher
"February 27, 1988", AMY Perry  ,Yes,50.5,"$59,361",Male,sales associate
2022-04-21, jamie Fisher  ,Yes,36.2,"$59,425",Male,HR Specialist
14-Aug-2013, REBECCA Silva  ,No,62.0,"$49,816",Female,sales associate
1993-02-24, heather Gates  ,yes,24.5,"$36,541",male,Project manager
"August 04, 1977", KATHY James  ,no,34.0,"$51,137",man,Data Scientist
12/21/1989, adam Bell  ,yes,23.3,"$39,842",male,product Owner
"August 03, 1999", KAREN Castaneda  ,no,61.5,"$64,626",Female,Data Scientist
1980-10-06, stephanie Barnes  ,no,59.2,"$47,794",woman,Data Scientist
11/16/2000, JULIE Payne  ,No,30.1,"$37,617",Woman,MARKETING Manager
1970-03-22, carrie Walker  ,Yes,49.0,"$45,179",male,product Owner
02/20/2019, JEFFREY Graham  ,Yes,56.4,"$56,193",Woman,sales associate
12/22/2018, anthony Rogers  ,Yes,44.1,"$41,544",Female,Data Scientist
"December 04, 1987", ERIN Powell  ,Yes,42.9,"$37,666",male,software engineer
2004-01-25, frederick Mcdonald  ,yes,29.4,"$53,655",man,HR Specialist
2021-11-07, DAVID Dean  ,Yes,22.4,"$53,674",Male,Data Scientist
02/27/1982, anthony Long  ,yes,60.2,"$42,395",male,HR Specialist
"July 19, 2004", ANNE Johnson  ,Yes,60.3,"$42,934",female,MARKETING Manager
29-Mar-1977, dawn Taylor  ,yes,47.8,"$53,480",Male,Project manager
"July 20, 2012", STEVEN Williams  ,Yes,33.9,"$28,278",Female,sales associate
23-Apr-1990, nicholas Lewis  ,yes,34.4,"$28,888",woman,product Owner
"June 25, 2013", MARK Juarez  ,Yes,52.1,"$39,223",Female,HR Specialist
19-Jul-2004, nicholas Walton  ,yes,60.2,"$46,798",male,sales associate
"June 11, 2011", MARIE King  ,yes,59.7,"$54,663",Male,product Owner
1983-07-15, christopher Smith  ,No,54.7,"$72,130",man,Project manager
